Line,Direction,Station from,Station to,Distance,Un-impeded Running Time,AM peak  Running Time,Inter peak  Running time 
Bakerloo,Southbound,HARROW & WEALDSTONE,KENTON,1.74,2.23,2.50,2.50
Bakerloo,Southbound,KENTON,SOUTH KENTON,1.40,1.88,2.00,2.00
Bakerloo,Southbound,SOUTH KENTON,NORTH WEMBLEY,0.90,1.50,1.50,1.50
Bakerloo,Southbound,NORTH WEMBLEY,WEMBLEY CENTRAL,1.27,1.92,2.06,2.06
Bakerloo,Southbound,WEMBLEY CENTRAL,STONEBRIDGE PARK,1.71,2.23,3.13,3.13
Bakerloo,Southbound,STONEBRIDGE PARK,HARLESDEN,1.53,2.13,2.40,2.40
Bakerloo,Southbound,HARLESDEN,WILLESDEN JUNCTION,1.05,1.65,2.23,2.23
Bakerloo,Southbound,WILLESDEN JUNCTION,KENSAL GREEN,1.50,2.47,2.50,2.50
Bakerloo,Southbound,KENSAL GREEN,QUEENS PARK,1.32,2.65,4.72,4.72
Bakerloo,Southbound,QUEENS PARK,KILBURN PARK,0.79,1.42,1.50,1.50
Bakerloo,Southbound,KILBURN PARK,MAIDA VALE,0.88,1.48,2.00,2.00
Bakerloo,Southbound,MAIDA VALE,WARWICK AVENUE,0.79,1.50,1.50,1.50
Bakerloo,Southbound,WARWICK AVENUE,PADDINGTON,0.88,1.58,2.00,2.00
Bakerloo,Southbound,PADDINGTON,EDGWARE ROAD,0.72,1.57,1.50,1.50
Bakerloo,Southbound,EDGWARE ROAD,MARYLEBONE,0.45,1.12,1.50,1.50
Bakerloo,Southbound,MARYLEBONE,BAKER STREET,0.50,1.17,1.50,1.50
Bakerloo,Southbound,BAKER STREET,REGENTS PARK,0.88,1.68,2.00,2.00
Bakerloo,Southbound,REGENTS PARK,OXFORD CIRCUS,0.87,1.85,2.00,2.00
Bakerloo,Southbound,OXFORD CIRCUS,PICCADILLY CIRCUS,0.97,1.95,2.48,2.48
Bakerloo,Southbound,PICCADILLY CIRCUS,CHARING CROSS,0.55,1.35,1.50,1.50
Bakerloo,Southbound,CHARING CROSS,EMBANKMENT,0.37,0.95,1.50,1.50
Bakerloo,Southbound,EMBANKMENT,WATERLOO,0.71,1.43,1.50,1.50
Bakerloo,Southbound,WATERLOO,LAMBETH NORTH,0.63,1.45,2.00,2.00
Bakerloo,Southbound,LAMBETH NORTH,ELEPHANT & CASTLE,0.82,2.57,2.50,2.50
Central,Eastbound,WEST RUISLIP,RUISLIP GARDENS,2.04,2.28,2.57,2.50
