name,rent
Edgware, 876
Burnt Oak, 1016
Colindale, 1108
Hendon Central, 1096
Brent Cross, 1076
Golders Green, 1184
Hampstead, 1528
Belsize Park, 1540
Chalk Farm, 1528
High Barnet, 876
Totteridge, 836
Woodside Park, 1048
West Finchley, 1008
Mill Hill East, 916
Finchley Central, 1008
East Finchley, 1076
Highgate, 1176
Archway, 1260
Tufnell Park, 1292
Kentish Town, 1380 
Camden town, 1476
Mornington Crescent, 1528
Euston, 1720
Warren Street, 1892
Goodge Street, 1924
Tottenham Court Road, 2004
Leicester Square, 2096
Charing Cross, 2072
Kings Cross, 1548
Kings Cross St Pancras, 1548
Angel, 1692
Old Street, 1832
Moorgate, 1924
Bank, 2128
London Bridge, 1672
Borough, 1548
Elephant and Castle, 1468
Embankment, 1980
Waterloo, 1736
Kennington, 1380
Oval, 1352
Stockwell, 1336
Clapham North, 1336
Clapham Common, 1348
Clapham South, 1352
Balham, 1244
Tooting Bec, 1132
Tooting Broadway, 1092
Colliers Wood, 1104
South Wimbledon, 1116
Morden, 1024
Uxbridge, 968
Hillingdon, 888
Ickenham, 832
Ruislip, 764
Ruislip Manor, 732
Eastcote, 832
Rayners Lane, 1004
South Harrow, 1004
Sudbury Hill, 808
Sudbury Town, 812
Alperton, 1168
Park Royal, 1152
North Ealing, 1224
Piccadilly Circus, 2256
Green Park, 2384
Hyde Park Corner, 2920
Knightsbridge, 2832
South Kensington, 2080
Gloucester Road, 1960
Earls Court, 1736
Baron's Court, 1396
Hammersmith, 1368
Turnham Green, 1332
Acton Town, 1208
Ealing Common, 1220
South Ealing, 1112
Northfields, 1104
Boston Manor, 1052
Osterley, 892
Hounslow East, 936
Hounslow Central, 884
Hounslow West, 732
Hatton Cross, 324
Cockfosters, 880
Oakwood, 864
Southgate, 968
Arnos Grove, 1020
Bounds Green, 936
Wood Green, 1040
Turnpike Lane, 1116
Manor House, 1200
Finsbury Park, 1332
Arsenal, 1440
Holloway Road, 1440
Caledonian Road, 1400
Kings Cross, 1548
Russell Square, 1656
Holborn, 1860
Covent Garden, 2068
Leicester Square, 2096
Walthamstow Central, 1136
Blackhorse Road, 1008
Tottenham Hale, 1040
Seven Sisters, 1084
Finsbury Park, 1332
Highbury, 1460
King's Cross, 1548
Euston, 1720
Warren Street, 1892
Oxford Circus, 2260
Green Park, 2384
Victoria, 1984
Pimlico, 1748
Vauxhall, 1660
Stockwell, 1336
Brixton, 1236
West Ruislip, 784
Ruislip Gardens, 552
South Ruislip, 552
Northolt, 784
Greenford, 900
Perivale, 1068
Hanger Lane, 1148
Ealing Broadway, 1292
West Acton, 1148
North Acton, 1092
East Acton, 1064
White City, 1308
Shepherd's Bush, 1416
Holland Park, 1820
Notting Hill Gate, 1820
Queensway, 1760
Lancaster Gate, 1744
Marble Arch, 2028
Bond Street, 2276
Leytonstone, 924
Leyton, 892
Stratford, 1220
Mile End, 1244
Bethnal Green, 1296
Liverpool Street, 1776
Bank, 2128
St Pauls, 2072
Chancery Lane, 1776
Holborn, 1860
Oxford Circus, 2260
Debden, 924
Loughton, 1384
Buckhurst Hill, 832
Woodford, 900
South Woodford, 992
Snaresbrook, 996
Roding Valley, 832
Chigwell, 740
Grange Hill, 880
Hainault, 924
Fairlop, 964
Barkingside, 736
Newbury Park, 840
Gants Hill, 960
Redbridge, 488
Wanstead, 948
Chorleywood, 832
Rickmansworth, 776
Watford, 888
Croxley, 680
Moor Park, 900
Northwood, 968
Northwood Hills, 940
Pinner, 960
North Harrow, 1016
Uxbridge, 968
Hillingdon, 888
Ickenham, 832
Ruislip, 764
Ruislip Manor, 732
Eastcote, 832
Rayners Lane, 1004
West Harrow, 1032
Harrow-on-the-Hill, 1000
Northwick Park, 976
Preston Road, 848
Wembley Park, 1216
Finchley Road, 1648
Baker Street, 1924
Great Portland Street, 2028
Euston Square, 1720
Kings Cross, 1548
Farringdon, 1924
Barbican, 1988
Moorgate, 1924
Liverpool Street, 1776
Aldgate, 1680
Harrow & Wealdstone, 920
Kenton, 932
South Kenton, 760
North Wembley, 952
Wembley Central, 1048
Stonebridge Park, 1076
Harlesden, 1108
Willesden Junction, 1108
Kensal Green, 1416
Queens Park, 1380
Kilburn Park, 1432
Maida Vale, 1568
Warwick Avenue, 1724
Paddington, 1748
Edgware Road, 1788
Marylebone, 1848
Baker Street, 1924
Regents Park, 2136
Oxford Circus, 2260
Piccadilly Circus, 2256
Charing Cross, 2072
Embankment, 1980
Waterloo, 1736
Lambeth North, 1656
Elephant & Castle, 1472
Stanmore, 924
Canons Park, 1028
Queensbury, 1060
Kingsbury, 1004
Wembley Park, 1216
Neasden, 1000
Dollis Hill, 1188
Willesden Green, 1196
Kilburn, 1304
West Hampstead, 1564
Finchley Road, 1648
Swiss Cottage, 1644
St Johns Wood, 1680
Baker Street, 1924
Bond Street, 2276
Green Park, 2384
Westminster, 1884
Waterloo, 1736
Southwark, 1676
London Bridge, 1672
Stratford, 1220
West Ham, 1156
Canning Town, 1384
North Greenwich, 1460
Canary Wharf, 1544
Canada Water, 1340
Bermondsey, 1480
London Bridge, 1672
Hammersmith, 1368
Goldhawk Road, 1304
Shepherds Bush Market, 1316
Wood Lane, 1320
Latimer Road, 1600
Ladbroke Grove, 1716
Westbourne Park, 1700
Royal Oak, 1696
Paddington, 1748
Edgware Road, 1777
Baker Street, 1924
Great Portland Street, 2028
Euston Square, 1720
Farringdon, 1924
Barbican, 1988
Moorgate, 1924
Liverpool Street, 1776
Aldgate East, 1584
Whitechapel, 1380
Stepney Green, 1272
Mile End, 1244
Bow Road, 1240
Bromley By Bow, 1288
West Ham, 1156
Plaistow, 196
Upton Park, 692
East Ham, 960
Barking, 920
Ealing Broadway, 1272
Ealing Common, 1220
Acton Town, 1208
Chiswick Park, 1300
Richmond, 1392
Kew Gardens, 1260
Gunnersbury, 1448
Turnham Green, 1332
Stamford Brook, 1368
Ravenscourt Park, 1360
Hammersmith, 1368
Barons Court, 1396
West Kensington, 1508
Wimbledon, 1220
Wimbledon Park, 1216
Southfields, 1216
East Putney, 1208
Putney Bridge, 1352
Parsons Green, 1500
Fulham Broadway, 1564
West Brompton, 1636
Earl's Court, 1736
High Street Kensington, 1912
Gloucester Rd, 1960
South Kensington, 2080
Sloane Square, 2064
Victoria, 1984
St James Park, 1892
Westminister, 1884
Embankment, 1980
Temple, 1884
Blackfriars, 2016
Mansion House, 2068 
Upminster, 740
Upminster Bridge, 808
Hornchurch, 836
Elm Park, 552
Dagenham East, 740
Dagenham Heathway, 796
Becontree, 784
Upney, 812
Barking, 920
East Ham, 960
Upton Park, 692
Plaistow, 916
West Ham, 1156
Bromley by Bow, 1228
Bow Road, 1240
Mile End, 1244
Stepney Green, 1272
Whitechapel, 1380
Aldgate East, 1584
Tower Hill, 1648
Monument, 2128
Cannon Street, 2156
